Date,Time,GameMode,Rounds,Player1Score,Player2Score,Winner,Duration
2025-06-02,11:58:19,Player vs Player,3,0,3,"Player 2 Wins!",16086
2025-06-02,11:59:03,Player vs Computer,3,3,0,"You Win!",15508
